"44367c64-4352-4fad-8152-e004e85f637c","Elden Ring The Biggest Changes in the 103 Patch  IGN20220318T220015Z"
"453b1e36-4435-4bdf-a883-8c45f4570588","AllRussian cosmonaut crew launches to International Space Station  CNN20220318T195259Z"
"453b1e36-4435-4bdf-a883-8c45f4570588","Friends reveal how early they predicted Ketanji Brown Jackson would serve on the Supreme Court  CBS Mornings20220318T133127Z"
"453b1e36-4435-4bdf-a883-8c45f4570588","McDonalds Starbucks and others have no recourse for stolen trademarks in Russia  Yahoo Finance20220318T174530Z"
"50c8fead-b9b0-42ed-8f7d-16c0d5e73932","Deshaun Watson Is Traded to Cleveland  The New York Times20220318T220253Z"
"50c8fead-b9b0-42ed-8f7d-16c0d5e73932","Russia’s Halting Progress in Attack on Ukraine Puts Focus on Resupply Efforts - The Wall Street Journal20220320T134000Z"
"50c8fead-b9b0-42ed-8f7d-16c0d5e73932","Say hello to Horridus, one of the most complete Triceratops fossils found on Earth - CNN20220320T060331Z"
"ca62a9da-baac-4578-be84-1ff571a766c9","Idaho man killed in Ukraine was in the country caring for his partner, sister says - KSL.com2022-03-19T22:28:42Z"
"e19b2dc9-2670-40b2-977b-3da173f4bd3e","Mario Kart 8 Deluxe  Booster Course Pass Graphics Comparison  GameSpot20220319T013007Z"
"e991fc35-a554-4758-8f0b-1e74a00c166d","Shooting at Arkansas car show kills at least 1, wounds 24 - WCVB Boston20220320T174000Z"
"ef04fc78-9db4-4ac9-9600-0f8a6aeaa272","Russian court extends US basketball star Brittney Griner's arrest until May 19, reports TASS - CNN2022-03-17T14:14:00Z"
"ef04fc78-9db4-4ac9-9600-0f8a6aeaa272","Russia’s Halting Progress in Attack on Ukraine Puts Focus on Resupply Efforts - The Wall Street Journal20220320T134000Z"
